"","location","year","tech_jobs","all_jobs","percentage","growth"
"579",90049,2011,3559,18710,5.25709468951953,-0.0367730095856633
"580",90049,2012,3900,19501,5.00025641025641,-0.0488555550987405
"581",90049,2013,5813,21312,3.66626526750387,-0.266784547291672
"582",90049,2014,2836,17283,6.0941466854725,0.662221972722017
"583",90049,2015,4239,17030,4.01745694739325,-0.340767927859326
"584",90049,2016,4843,18350,3.78897377658476,-0.0568725872611389
"585",90049,2017,4724,19731,4.17675698560542,0.102345181541528
"586",90057,2005,703,9866,14.0341394025605,NA
"587",90057,2006,722,9022,12.4958448753463,-0.109610891205309
"588",90057,2007,684,9444,13.8070175438596,0.104928692824946
"589",90057,2008,780,10108,12.9589743589744,-0.0614211709510308
"590",90057,2009,768,9659,12.5768229166667,-0.0294893277601902
"591",90057,2010,525,10212,19.4514285714286,0.546609084051884
"592",90057,2011,536,10020,18.6940298507463,-0.0389379483311995
"593",90057,2012,503,9589,19.0636182902585,0.0197703995587353
"594",90057,2013,524,10939,20.8759541984733,0.0950677820244092
"595",90057,2014,492,10886,22.1260162601626,0.0598804753931077
"596",90057,2015,471,11013,23.3821656050955,0.0567725039231128
"597",90057,2016,509,11530,22.6522593320236,-0.0312163674400161
"598",90057,2017,507,11203,22.0966469428008,-0.0245279016577967
"599",90059,2005,16,4130,258.125,NA
"600",90059,2006,13,3849,296.076923076923,0.147029241944496
"601",90059,2007,2,3857,1928.5,5.51351000259808
"602",90059,2008,0,3592,Inf,Inf
"603",90059,2009,0,2899,Inf,NA
"604",90059,2010,8,3429,428.625,-1
"605",90059,2011,4,3313,828.25,0.932341790609508
"606",90059,2012,0,3419,Inf,Inf
"607",90059,2013,0,4331,Inf,NA
"608",90059,2014,0,4104,Inf,NA
"609",90059,2015,0,4358,Inf,NA
"610",90059,2016,0,4228,Inf,NA
"611",90059,2017,0,4615,Inf,NA
"612",90061,2005,117,6392,54.6324786324786,NA
"613",90061,2006,176,6633,37.6875,-0.310163094493116
"614",90061,2007,97,6515,67.1649484536082,0.782154519498727
"615",90061,2008,89,6281,70.5730337078652,0.0507420214371326
"616",90061,2009,73,5273,72.2328767123288,0.0235195076257384
"617",90061,2010,191,6101,31.9424083769633,-0.557785736484293
"618",90061,2011,125,6177,49.416,0.547034256679233
"619",90061,2012,103,5797,56.2815533980583,0.138933814919424
"620",90061,2013,190,7096,37.3473684210526,-0.336419018911778
"621",90061,2014,197,6427,32.6243654822335,-0.126461465385518
"622",90061,2015,227,7117,31.352422907489,-0.0389875038470003
"623",90061,2016,229,7078,30.9082969432314,-0.0141656026256094
"624",90061,2017,255,7126,27.9450980392157,-0.0958706624780458
"625",90062,2005,26,1558,59.9230769230769,NA
"626",90062,2006,23,1694,73.6521739130435,0.229112016520624
"627",90062,2007,22,1569,71.3181818181818,-0.031689384995171
"628",90062,2008,23,1580,68.695652173913,-0.0367722448527162
"629",90062,2009,0,1427,Inf,Inf
"630",90062,2010,2,1739,869.5,-1
"631",90062,2011,2,1642,821,-0.0557791834387584
"632",90062,2012,11,1810,164.545454545455,-0.799579227106633
"633",90062,2013,24,2601,108.375,-0.341367403314917
"634",90062,2014,33,2749,83.3030303030303,-0.231344587745972
"635",90062,2015,3,2895,965,10.5842124408876
"636",90062,2016,3,2979,993,0.0290155440414508
"637",90062,2017,7,3106,443.714285714286,-0.553157819018846
"638",90064,2005,11495,26646,2.31805132666377,NA
"639",90064,2006,10001,24220,2.42175782421758,0.0447386545590731
"640",90064,2007,12161,26054,2.14242249814982,-0.115344037820133
"641",90064,2008,7206,21601,2.99764085484319,0.399182867726567
"642",90064,2009,5858,20384,3.47968589962445,0.160808138173869
"643",90064,2010,8658,24273,2.8035343035343,-0.194313974190348
"644",90064,2011,9834,25084,2.5507423225544,-0.0901690343725118
"645",90064,2012,10890,25675,2.35766758494031,-0.0756935484650363
"646",90064,2013,10619,25977,2.44627554383652,0.0375828888950223
"647",90064,2014,10797,26525,2.45670093544503,0.00426174052010575
"648",90064,2015,11316,28431,2.51246023329799,0.0226968195633683
"649",90064,2016,10534,27781,2.63726979305107,0.0496762329206126
"650",90064,2017,10638,26993,2.53741304756533,-0.037863682262942
"651",90065,2005,605,8495,14.0413223140496,NA
"652",90065,2006,707,8901,12.5898161244696,-0.103373895785274
